,id,guest_id,rating,review,is_anonymous,reservation_id,scores_accuracy,scores_check_in,scores_cleanliness,scores_communication,scores_location,scores_value
38,39,64,10,"Great host, very friendly and accomodating. Apartment was fine, great location for walking to Bondi Junction or biking to the beach. Was able toget wifi thanks to friendly neighbors.",FALSE,10,10,10,10,10,10,10
39,40,65,9,Great little flat - clean and homely - perfect location for Bondi Junction. Amanda was really helpful in helping settle into the City and help with directions etc - would happily stay again,FALSE,9,9,9,9,9,9,9
40,41,66,9,Amanda offers a cosy room in her apartment. She was really helpful and offered to stay longer when I needed. I enjoyed my stay!,FALSE,9,9,9,9,9,9,9
41,42,67,9,"We had a really nice stay at Amanda's; 
She's really helpfull and her place is really tidy",FALSE,9,9,9,9,9,9,9
42,43,68,9,"I would say this room is ideal for the single traveller.
It is situated just off the kitchen so handy if you require a drink during the evening. Amanda I found was very accomadating as to your arrival time,as I arrived at 11-45 pm.Most of the time you are left on your own during the dayas Amanda works .
Just  across the road  is Coopers Park which I found handy if one requires an early morning walk or workout beware of the heat.
Only a 10 minute walk from Bondi Junction with its many cafes for 
breakfast or lunches,Rubys Café is a must .
Catch a bus or train to any main part of Sydney.
I heartily recommend this room to any visitor.",FALSE,9,9,9,9,9,9,9
43,44,69,9,"I booked the room for my friend who was visiting Sydney for four days. However, I had the chance to meet Amanda in person and have to say that she was super sweet and very helpful.
My friend very much enjoyed her stay in the very nicely decorated und super clean appartment.

Thank you very much Amanda!",FALSE,9,9,9,9,9,9,9
44,45,70,10,I had a wonderful time at Amandas place. It is perfect to visit Sydney and she is a really friendly and cool host. Thanks Amanda!,FALSE,10,10,10,10,10,10,10
45,46,71,9,"Double room in a great location, perfect for the single traveller. Amanda is a friendly and accommodating host, happy to give recommendations when asked.

The apartment is a 25 minute walk to Bondi beach and Double Bay, and 10 minutes walk to Bondi junction where you can get the train into the city within 20 minutes. ",FALSE,9,9,9,9,9,9,9
46,47,72,8,Comfortable. Quiet. Clean. Modern. Classy. Friendly. ,FALSE,8,8,8,8,8,8,8
47,48,73,8,The host canceled my reservation 43 days before arrival.,FALSE,8,8,8,8,8,8,8
48,63,88,9,"Atari is a very good host. He did everything possibly to make his guests have a wonderful stay. The place is very clean and tidy. It's very spacious and very convenient, walking distance to town. I really enjoyed the stay at his apartment. It's such an amazing experience for an airbnb first timer. Thank you very much! :)
",FALSE,9,9,9,9,9,9,9
49,64,89,10,Beautiful apartment (should be in a design magazine!) in a great location in Sydney! Atari is also a great and accommodating host--could not have asked for a better experience. ,FALSE,10,10,10,10,10,10,10
50,422,447,10,Fabulous place in a great location? We loved it!,FALSE,10,10,10,10,10,10,10
51,49,74,8,"Absolutely fantastic value. This was the first time I rented a whole apartment via Airbnb (usually sharing with a host instead).  Marie’s 1 bedroom apartment, is a lovely space and lovely place, in a great leafy and central location.   It seems impossible to compare a basic Sydney motel room that would cost considerably more, with Maria’s luxurious 1 bedroom apartment.

The apartment is nicely furnished and equipped and has a balcony off the main bedroom and another off the living space.  I appreciated the quiet setting in a leafy street in North Sydney.   

North Sydney is a nice place to base yourself if you have activities on the north side of the Sydney Harbour Bridge, or a quick and wonderfully scenic train trip from North Sydney station over the harbour bridge to the city.  I’m not sure of the walking time to North Sydney train station but there were also regular buses.  I had a car so really appreciated the security car parking space within the building. 

Maria couldn’t have been more helpful, generous and thoughtful.  Leaving a lovely supply of gourmet breakfast ingredients, she was easy and prompt with all communications and flexibile in dealing with my ongoing delayed arrival time (due to unforeseen circumstances).  I would thoroughly recommend Maria’s apartment for a lovely stay.

",FALSE,8,8,8,8,8,8,8
52,50,75,8,"An immaculate apartment with lots of natural light, it was a pleasure staying here. I didn't have a chance to see the pool, but Maria had thoughtfully put out extra towels in case we did.  I would definitely think about staying here again!",FALSE,8,8,8,8,8,8,8
53,51,76,10,"Maria has a great appartment and was a considerate host. The pool is big enough to do laps and the warm spa was a a delight also.
Maria made recommendations regarding eating transport and locale which were helpful. The Japanes restaurant on Miller St is wonderful and reasonably priced.
Great place for business and pleasure. Book it!",FALSE,10,10,10,10,10,10,10
54,52,77,9,"Great flat, excellent hosting skills and delicious food for breakfast , thanks again Maria! 

Location for us was perfect, v handy for CBD and all the other trips to Manly, Bondi, Blue Mountains and the parking at Mclaren's building came in v handy (Sydney parking must be the most expensive that we've experienced in many years of travelling). The swimming pool came also v useful for early morning and late dips, perfect relaxation after lots of sightseeing & walking. We absolutely loved as well Maria's bed linen, as good as top hotels, we really felt like home.

Hope to get back to Sydney next year an stay again at Maria's lovely flat.

 ",FALSE,9,9,9,9,9,9,9
55,53,78,8,"Maria was a great host; friendly, helpful, flexible on check in and check out times and we felt very welcome in her home. She responded quickly to any queries we had before and after our arrival, and provided lots of extras, including toiletries and food to get us going over the first few days. Her apartment was spacious, clean, modern, comfortable and very well equipped. The apartment block has a comprehensive but simple to use security system and everyone we met within the building was friendly. There was easy access to the city via bus and train. The free secure parking made hiring a car for sightseeing further out of Sydney an easy option. We made full use of the pool and hot tub, which we very rarely saw anyone else using. The balconies provided some extra outside space but, as expected for the apartment block's situation in the business area, there are no open views. 
We would certainly recommend Maria as an excellent host and her apartment provided much much more than more expensive Sydney hotels. ",FALSE,8,8,8,8,8,8,8
56,54,79,10,"Maria is a diligent host and was a pleasure to deal with. She went above and beyond to ensure we had a pleasant stay. The apartment is in a great location, was clean and tidy and is equipped with everything you need.",FALSE,10,10,10,10,10,10,10
57,55,80,9,"We are really glad we stayed in Maria's apartment! The place is really nice, well decorated and comfortable! Also it's so convenient (just 5 minutes away from the North Sydney station) and also 10 minutes away from some nice cafes near Crow Nest! 
Maria was so helpful and was always making sure we were fine! We'll definitely try to stay there next time we visit Sydney!   ",FALSE,9,9,9,9,9,9,9
58,56,81,9,"Maria was a great host and made sure that we knew where everything in her apartment was.  Her place was safe, comfortable and convenient, and my wife and I really enjoyed our stay there.  I would highly recommend her place to anyone who would like to stay near the city.",FALSE,9,9,9,9,9,9,9
59,57,82,9,"We had a fantastic time at Maria's apartment. The property was well appointed and easily accessible to main transport links, it was very nicely decorated and very clean and easy to maintain.

Maria thinks of the little things, groceries on arrival, additional towels - even a bottle of welcome wine!

Wish we could have had more time to relax in the spa pool, and sit on the balcony! It felt like home for our entire stay and look forward to staying again in the future!

Thanks Maria, 
Ellen & Scott",FALSE,9,9,9,9,9,9,9
60,58,83,9,"The apartment was modern, clean and comfortable. Instructions were professional and easy to follow. Atari provided many great food/bar suggestions, including making several food guides available! Would stay here again without question!",FALSE,9,9,9,9,9,9,9
61,59,84,9,thank you very much. we really enjoy Sydney :),FALSE,9,9,9,9,9,9,9
62,60,85,9,"Great location, very nice flat, clean and tidy - a really good decicion for 2 people staying in sydney. Its so close to everything but really quiet! Very recommended!",FALSE,9,9,9,9,9,9,9
63,61,86,9,"The place is nice, but you might want to stay here just because Atari is a great host and will make everything extremely easy for you. He truly did everything possible to accommodate us.
The place is in a great location. There is a bus to Bondi that stops right in front of the apartment. It's really close to George St and there are several nice restaurants around. There is a laundry and dryer in the apartment and also a dishwasher.
The apartment is nice but not as nice as you might think based on the pictures. The building is an old warehouse and looks and smells like one. Someone smokes in the corridor outside the apartment and, although the smell never got into the apartment, you could  smell it once you leave it. These are the only negative points.
Frankly, I don't think that you can find a better deal in Sydney.",FALSE,9,9,9,9,9,9,9
64,62,87,9,"I stayed in Atari's apartment for ten days in November. It was my first Airbnb experience and it was fantastic. I couldn't believe the value I was getting for the price I was paying. The apartment was in such a convenient location, it was beautiful and clean, and the free wireless internet was a godsend as I needed to be connected to my email constantly for work. Atari was very easy to communicate with, friendly and very helpful - going above and beyond the call of duty, pointing out the nearest best coffee! Great experience. Very happy customer!",FALSE,9,9,9,9,9,9,9
65,337,362,9,We really enjoyed staying at the Bondi beach house over Christmas. It suited our family of four very well. Thanks! ,FALSE,9,9,9,9,9,9,9
66,65,90,10,Atari was an outstanding host providing both a fully functional and perfectly located apartment. He provided some sound advice on the neighbourhood's amenities and must-go places. We were extremely happy with the experience and fully endorse staying at his place!,FALSE,10,10,10,10,10,10,10
67,66,91,8,"We had a great stay in this very cosy & nicely decorated apartment with wooden floors, a piano, and beautiful paintings everywhere.
It has a great location right across the beach! Bus stop (for transportation to Bondi Junction & CBD) is just a 2 minute walk from the apartment.
We had nice views on the ocean from the living room. 
We once had some noise during the night from the hostel next door, but after all it was holiday season and after a phone call they managed to keep it quiet for the rest of our stay.
You can use the hostel's wifi but it is rather expensive and limited in data use so I would recommend to bring a pre-paid 3G modem (easily found in Westfield shopping center @ Bondi Junction) if you want to go online.
Would recommend staying here to anyone! ",FALSE,8,8,8,8,8,8,8
68,67,92,9,"We had an absolutely amazing holiday in this apartment in Jan 2011. It's beautifully decorated just as in the pictures. It was so nice to wake up & see the beach with everyone jogging, walking & swimming. It inspired us to do the same every day before breakfast. 
Lovely bedlinen, more than ample closet space, washing machine & dryer. I bought a wireless wifi device with 3G of data from Vodafone (just a few minutes walk from the apartment) & it was perfect for the week.
Amber was very nice & I felt that if we had any questions or problems she would have helped / fixed the problem immediately. I must say that actually everything was perfect & we had no need to contact her except to arrange to extend our stay.",FALSE,9,9,9,9,9,9,9
69,68,93,8,"Lovely Bohemian apartment, with outstanding views of Bondi Beach.
Close to the hussle and bussle of Bondi and a footstep away from the cafes and restaurants, which was great because we had no transport other than by foot or the bus (bus stop across the road).
The apartment had everything we needed, the fans were a relief to the sweltering heat we encountered the week we stayed. Beach towels were also provided, which left us some extra luggage space.
Amber and her Mum were very helpful, especially when we accidently locked the keys inside!
Great value for money. ",FALSE,8,8,8,8,8,8,8
70,69,94,8,"We loved this apartment! It is like a Parisian flat with  a view of Bondi!  Anything we needed was supplied.  Any complications were solved immediately.  We wanted to stay longer or come back, but it is so desirable it was already booked out.  Lovely hostess, so attentive and helpful.  We would come back and we recommend it highly!!",FALSE,8,8,8,8,8,8,8
71,70,95,9,Awesome location and super convenient for public transport.  The view is totally amazing.  So much better value than staying in a hotel plus you get a friendly host.  I would definetly stay there again!,FALSE,9,9,9,9,9,9,9
72,71,96,8," Great location.
Ready for major renovation.
Not clean, stained old uncomfortable bed.
No lift, no micro and no car parking.",FALSE,8,8,8,8,8,8,8
73,72,97,9,"How do i find the appropriate words to describe how much i loved this apartment and my time in it? I totally fell in love with the charming furniture and Susan beautiful paintings that add to the lovely Parisienne feel of it.
The view of the beach and the sunrises/ sunsets from the living room is just breathtaking!

Susan was a lovely host that made sure i felt at home and had everything i needed. I will definitely come back and stay there if its available!",FALSE,9,9,9,9,9,9,9
74,73,98,10,"Probably one of the best locations in Bondi Beach! Apartment is eclectic and has a great view. Aging around the edges, but all in all a very enjoyable stay.",FALSE,10,10,10,10,10,10,10
75,74,99,9,"Great location with even greater views. The hostess is very friendly and easy to communicate with. The apartment has a nice feel to it, the bed was comfy, and the high ceilings are nice. There's also some nice paintings on the walls which was also a plus.

The apartment is aging a bit, so it may not be suitable for people who expect a super clean modern contemporary interior.

We had a great stay and would definitely recommend it!",FALSE,9,9,9,9,9,9,9
76,75,100,9,"Off-Season May 3-May 20 and still a great place to stay. Even if it was too chilly for us to brave the water, the view out the huge bay window let us watch the more sturdy Aussies have at the gorgeous waves on Bondi Beach.

If there is anyone else on Bondi claiming the ""Perfect Location"" I don't know where it would be. Susan's Bohemian hideaway is across the street from the best part of the beach and directly above the most popular bar on Campbell Parade (The Bier Garden) Less than 5 minutes to walk to IGA market and a bottle shop.  You'll find Susan both charming and efficient in getting you set up in her apartment.

This is the place to stay in Bondi if it is available.",FALSE,9,9,9,9,9,9,9
77,76,101,9,"My mother and I had a delightful time at Studio Yindi. If you like the clean lines of modern architecture, a full view of a walk out garden, big city sites. beaches for swimming, trails for walking and endless shopping all within minutes this is the place for you . The birds singing will greet your day and the quite surroundings act as a perfect relaxing environment after a day of business or sight seeing.
Pam and John are perfect hosts ready to assist you when and if you choose.",FALSE,9,9,9,9,9,9,9
78,77,102,9,"The house has a great location.....close to the public transport, the bech, restaurants, shops and close enough to the city....
there is a lot of place in the apartment, and a nice garden right in front....
all the basic kitchenware is there, as well as a washing machine....
and John and Pam are very nice and extremly helpful hosts....",FALSE,9,9,9,9,9,9,9
79,78,103,10,"When staying at Studio Yindi i was a backpacker and hence the facilities seemed extremely luxurious. If you are looking for a nice place to crash then this is perfect. The hosts gave us a friendly welcome and the place itself is fairly well equipped. Lovely spacious area to chill out in with a small bedroom on the side. The kitchen facilities are not as brilliant as they could be - lacking an oven or hob, however if you are wanting to eat out a lot or can prepare microwave meals then this isn't an issue. It's a nice location with suitable walks around the area and a bus service nearby. I enjoyed staying here and would return.",FALSE,10,10,10,10,10,10,10
80,79,104,8,"Studio Yindi is by far the best value accommodation option in North Sydney. The price per square meter beats any other offer for sure... it has privacy and a small garden, parking is free (which is not so common in Sydney) and John is a great and helpful host. ",FALSE,8,8,8,8,8,8,8
81,111,136,8,"Nicolette was very fast responding to my emails with any questions I had. Her house is clean, large and sunny. I would definitely stay here again as location is 10 out of 10!",FALSE,8,8,8,8,8,8,8
82,354,379,10,"Fun guy, delightful host who goes out his way to make you feel comfortable. ",FALSE,10,10,10,10,10,10,10
83,80,105,9,"My partner, Mom and I stayed at Studio Yindi last week.  The apartment had everything we needed - coffee maker, hairdryer, washing machine, and lots more.  We loved the downtown Mosman area which is about a 15 minute walk from the studio (or a super short bus ride) and really enjoyed exploring surrounding Cremorne and Balmoral on foot.    Getting in and out of CBD by bus is super easy as well.  John is a great host, I would definitely recommend this accommodation to others.  ",FALSE,9,9,9,9,9,9,9
84,81,106,10,"We stayed at studio yindi for a week in february and had a great stay. We travelled around sydney purely using buses and would recommend a look at the sydney buses website as the bus stop is a 5 minute walk. Mosman is a great area to stay in, and any travel to the CBD involves a wee trip over the harbour bridge which we never got bored of, and it is also quite handy for Manly and Balmoral beach which are both wonderful. John and Pam are excellent hosts and very knowledgable about Sydney in fact John even took us out in his boat which was one of the highlights of our trip. ",FALSE,10,10,10,10,10,10,10
85,82,107,10,"We enjoyed staying with John and Pam, who were very kind and gracious hosts.",FALSE,10,10,10,10,10,10,10
